code|description
14213200|macadán bituminoso
14213300|arenas bituminosas
14220000|arcilla y caolín
14221000|arcilla
14222000|caolín
14300000|minerales químicos y abonos minerales
14310000|abonos minerales
14311000|calcio natural, fosfato aluminocálcico y sales de potasio natural en bruto
14311100|calcio natural
14311200|fosfatos aluminocálcicos
14311300|sales de potasio natural en bruto
14312000|piritas de hierro
14312100|piritas de hierro sin tostar
14320000|minerales químicos
14400000|sal y cloruro de sodio puro
14410000|sal gema
14420000|sal marina
14430000|sal evaporada y cloruro de sodio puro
14450000|salmuera
14500000|productos relacionados con la explotación de minas y canteras
14520000|piedras preciosas y semipreciosas; piedra pómez; esmeril; abrasivos naturales; otros minerales y metales preciosos
14521000|piedras preciosas y semipreciosas
14521100|piedras preciosas
14521140|polvillo o polvo de piedras preciosas
14521200|piedras semipreciosas
14521210|polvillo o polvo de piedras semipreciosas
14522000|diamantes industriales; piedra pómez; esmeril y otros abrasivos naturales
14522100|piedra pómez
14522200|diamantes industriales
14522300|esmeril
14522400|abrasivos naturales
14523000|minerales conexos, metales preciosos y productos afines
14523100|minerales
14523200|oro
14523300|plata
14523400|platino
14600000|minerales metálicos y aleaciones
14610000|minerales metálicos
14611000|minerales de hierro
14612000|minerales metálicos no ferrosos
14612100|minerales de cobre
14612200|minerales de níquel
14612300|minerales de aluminio
14612400|minerales de metales preciosos
14612500|minerales de plomo
14612600|minerales de zinc
14612700|minerales de estaño
14613000|minerales de uranio y torio
14613100|minerales de uranio
14613200|minerales de torio
14614000|minerales diversos
14620000|aleaciones
14621000|ferroaleaciones
14621100|ferroaleaciones distintas de las de la ceca
14621110|ferromanganeso
14621120|ferrocromo
14621130|ferroníquel
14622000|acero
14630000|escoria y batiduras, desperdicios y desechos ferrosos
14700000|metales comunes
14710000|hierro, plomo, zinc, estaño y cobre
14711000|hierro
14711100|fundición en bruto
14712000|plomo
14713000|zinc
14714000|estaño
14715000|cobre
14720000|aluminio, níquel, escandio, titanio y vanadio
14721000|aluminio
14721100|óxido de aluminio
14722000|níquel
14723000|escandio
14724000|titanio
14725000|vanadio
14730000|cromo, manganeso, cobalto, itrio y circonio
14731000|cromo
14732000|manganeso
14733000|cobalto
14734000|itrio
14735000|circonio
14740000|molibdeno, tecnecio, rutenio y rodio
14741000|molibdeno
14742000|tecnecio
14743000|rutenio
14744000|rodio
14750000|cadmio, lutecio, hafnio, tantalio y wolframio
14751000|cadmio
14752000|lutecio
14753000|hafnio
14754000|tantalio
14755000|wolframio
14760000|iridio, galio, indio, talio y bario
14761000|iridio
14762000|galio
14763000|indio
14764000|talio
14765000|bario
14770000|cesio, estroncio, rubidio y calcio
14771000|cesio
14772000|estroncio
14773000|rubidio
14774000|calcio
14780000|potasio, magnesio, sodio y litio
14781000|potasio
14782000|magnesio
14783000|sodio
14784000|litio
14790000|niobio, osmio, renio y paladio
14791000|niobio
14792000|osmio
14793000|renio
14794000|paladio
14800000|productos minerales no metálicos diversos
14810000|productos abrasivos
14811000|muelas, piedras y ruedas de amolar
14811100|muelas
14811200|piedras de amolar
14811300|ruedas de amolar
14812000|abrasivos en polvo o en grano
14813000|corindón artificial
14814000|grafito artificial
14820000|vidrio
14830000|fibras de vidrio
14900000|materias primas secundarias de recuperación
14910000|materias primas metálicas secundarias de recuperación
14920000|materias primas no metálicas secundarias de recuperación
14930000|cenizas y residuos que contengan metales
15000000|alimentos, bebidas, tabaco y productos afines
15100000|productos de origen animal, carne y productos cárnicos
15110000|carne
15111000|carne de bovino
15111100|carne de vaca
15111200|carne de ternera
15112000|aves de corral
15112100|aves de corral frescas
15112110|gansos
15112120|pavos
15112130|pollos
15112140|patos
15112300|hígados de aves de corral
15112310|foie gras
15113000|carne de cerdo
15114000|despojos
15115000|cordero y carnero
15115100|cordero
15115200|carnero
15117000|carne de cabra
15118000|carne de caballo, asno, mulo o burdégano
15118100|carne de caballo
15118900|carne de asno, mulo o burdégano
15119000|carnes diversas
15119100|carne de conejo
